,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesGini,0.717391304347826,0.9285714285714286,accuracy,0.07601428031921387,0.08580660820007324,0.9028561115264893,0.07601428031921387,0.08580660820007324,0.9028561115264893,1,True,9
1,NeuralNetTorch,0.6956521739130435,0.8928571428571429,accuracy,0.011637687683105469,0.01673126220703125,6.173519611358643,0.011637687683105469,0.01673126220703125,6.173519611358643,1,True,12
2,LightGBMLarge,0.6739130434782609,0.9464285714285714,accuracy,0.0,0.0,1.1475775241851807,0.0,0.0,1.1475775241851807,1,True,13
3,WeightedEnsemble_L2,0.6739130434782609,0.9464285714285714,accuracy,0.0,0.0010008811950683594,1.2895176410675049,0.0,0.0010008811950683594,0.14194011688232422,2,True,14
4,ExtraTreesEntr,0.6739130434782609,0.9107142857142857,accuracy,0.07892918586730957,0.0625917911529541,0.9571270942687988,0.07892918586730957,0.0625917911529541,0.9571270942687988,1,True,10
5,LightGBMXT,0.6521739130434783,0.9285714285714286,accuracy,0.01250147819519043,0.0,0.8196072578430176,0.01250147819519043,0.0,0.8196072578430176,1,True,4
6,RandomForestGini,0.6521739130434783,0.9107142857142857,accuracy,0.10605740547180176,0.03853940963745117,0.9264929294586182,0.10605740547180176,0.03853940963745117,0.9264929294586182,1,True,6
7,CatBoost,0.6304347826086957,0.9107142857142857,accuracy,0.0,0.002155303955078125,6.2350122928619385,0.0,0.002155303955078125,6.2350122928619385,1,True,8
8,LightGBM,0.6304347826086957,0.9285714285714286,accuracy,0.013246536254882812,0.0,0.5195884704589844,0.013246536254882812,0.0,0.5195884704589844,1,True,5
9,XGBoost,0.6304347826086957,0.9107142857142857,accuracy,0.020245075225830078,0.0020012855529785156,0.5428385734558105,0.020245075225830078,0.0020012855529785156,0.5428385734558105,1,True,11
10,NeuralNetFastAI,0.6304347826086957,0.9285714285714286,accuracy,0.062111616134643555,0.03336524963378906,2.618105173110962,0.062111616134643555,0.03336524963378906,2.618105173110962,1,True,3
11,RandomForestEntr,0.6304347826086957,0.9107142857142857,accuracy,0.06451845169067383,0.07335972785949707,0.946624755859375,0.06451845169067383,0.07335972785949707,0.946624755859375,1,True,7
12,KNeighborsDist,0.41304347826086957,0.8571428571428571,accuracy,0.008219480514526367,0.010172128677368164,0.010137796401977539,0.008219480514526367,0.010172128677368164,0.010137796401977539,1,True,2
13,KNeighborsUnif,0.3695652173913043,0.7678571428571429,accuracy,0.0049097537994384766,0.2003154754638672,2.610076427459717,0.0049097537994384766,0.2003154754638672,2.610076427459717,1,True,1
