,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
1,KNeighborsDist,0.8823529411764706,0.9444444444444444,accuracy,0.00860595703125,0.010194540023803711,0.010035276412963867,0.00860595703125,0.010194540023803711,0.010035276412963867,1,True,2
0,KNeighborsUnif,0.8823529411764706,0.8333333333333334,accuracy,0.0010101795196533203,0.24019384384155273,2.6386566162109375,0.0010101795196533203,0.24019384384155273,2.6386566162109375,1,True,1
3,ExtraTreesGini,0.8235294117647058,1.0,accuracy,0.06509923934936523,0.11333370208740234,0.8119513988494873,0.06509923934936523,0.11333370208740234,0.8119513988494873,1,True,9
4,ExtraTreesEntr,0.8235294117647058,1.0,accuracy,0.06576156616210938,0.0695195198059082,0.8907804489135742,0.06576156616210938,0.0695195198059082,0.8907804489135742,1,True,10
2,NeuralNetTorch,0.8235294117647058,0.9444444444444444,accuracy,0.022649049758911133,0.012263774871826172,5.307115793228149,0.022649049758911133,0.012263774871826172,5.307115793228149,1,True,12
5,RandomForestMSE_DSTL,0.8235294117647058,0.8888888888888888,soft_log_loss,0.11873388290405273,0.045228004455566406,0.700793981552124,0.11873388290405273,0.045228004455566406,0.700793981552124,1,True,16
8,NeuralNetTorch_DSTL,0.7647058823529411,1.0,soft_log_loss,0.02555394172668457,0.01826000213623047,3.1548030376434326,0.02555394172668457,0.01826000213623047,3.1548030376434326,1,True,18
9,WeightedEnsemble_L2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.030638933181762695,0.01826000213623047,3.1757922172546387,0.005084991455078125,0.0,0.020989179611206055,2,True,19
6,LightGBM,0.7647058823529411,0.9444444444444444,accuracy,0.0037424564361572266,0.0,0.2516641616821289,0.0037424564361572266,0.0,0.2516641616821289,1,True,5
7,NeuralNetTorch_2_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.020196914672851562,0.010345458984375,2.94706392288208,0.020196914672851562,0.010345458984375,2.94706392288208,1,True,23
10,RandomForestEntr,0.7647058823529411,0.9444444444444444,accuracy,0.08107972145080566,0.09343361854553223,0.8699843883514404,0.08107972145080566,0.09343361854553223,0.8699843883514404,1,True,7
11,RandomForestGini,0.7647058823529411,0.9444444444444444,accuracy,0.10964059829711914,0.10378193855285645,0.8224577903747559,0.10964059829711914,0.10378193855285645,0.8224577903747559,1,True,6
12,WeightedEnsemble_2_L2_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.3388535976409912,0.020137548446655273,9.785835027694702,0.0,0.0,0.02824687957763672,2,True,24
13,LightGBM_2_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.3388535976409912,0.020137548446655273,9.757588148117065,0.3388535976409912,0.020137548446655273,9.757588148117065,1,True,20
14,WeightedEnsemble_L2,0.7058823529411765,1.0,accuracy,0.0,0.0,1.2190561294555664,0.0,0.0,0.14226245880126953,2,True,14
15,CatBoost,0.7058823529411765,1.0,accuracy,0.0,0.0,1.0767936706542969,0.0,0.0,1.0767936706542969,1,True,8
16,CatBoost_2_DSTL,0.7058823529411765,0.8888888888888888,soft_log_loss,0.005110025405883789,0.0,27.87699842453003,0.005110025405883789,0.0,27.87699842453003,1,True,22
17,CatBoost_DSTL,0.7058823529411765,0.8888888888888888,soft_log_loss,0.010228157043457031,0.0020127296447753906,41.23371601104736,0.010228157043457031,0.0020127296447753906,41.23371601104736,1,True,17
18,LightGBM_DSTL,0.7058823529411765,0.8888888888888888,soft_log_loss,0.3958563804626465,0.01680588722229004,11.450491905212402,0.3958563804626465,0.01680588722229004,11.450491905212402,1,True,15
19,LightGBMLarge,0.6470588235294118,0.9444444444444444,accuracy,0.0,0.0,0.5404198169708252,0.0,0.0,0.5404198169708252,1,True,13
20,LightGBMXT,0.6470588235294118,0.9444444444444444,accuracy,0.000881195068359375,0.0,0.28682589530944824,0.000881195068359375,0.0,0.28682589530944824,1,True,4
21,NeuralNetFastAI,0.6470588235294118,0.9444444444444444,accuracy,0.011114358901977539,0.010126352310180664,1.4475359916687012,0.011114358901977539,0.010126352310180664,1.4475359916687012,1,True,3
22,XGBoost,0.6470588235294118,0.8888888888888888,accuracy,0.013692378997802734,0.0,0.23436927795410156,0.013692378997802734,0.0,0.23436927795410156,1,True,11
23,RandomForestMSE_2_DSTL,0.6470588235294118,0.8888888888888888,soft_log_loss,0.09933996200561523,0.0562436580657959,0.6138358116149902,0.09933996200561523,0.0562436580657959,0.6138358116149902,1,True,21
