,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
38,RandomForestEntr_BAG_L1_FULL,0.764705882,,accuracy,0.072058201,0.071516514,0.800885439,0.072058201,0.071516514,0.800885439,1,TRUE,41
66,RandomForestEntr_BAG_L2,,0.91954023,accuracy,,0.692445993,53.53316164,,0.075759172,0.821916103,2,FALSE,17
43,RandomForestEntr_BAG_L2_FULL,0.764705882,,accuracy,0.413828611,,10.21279526,0.054436684,0.075759172,0.821916103,2,TRUE,53
73,RandomForestEntr_BAG_L3,,0.91954023,accuracy,,1.441031456,111.52671,,0.099383831,0.758369446,3,FALSE,29
20,RandomForestEntr_BAG_L3_FULL,0.823529412,,accuracy,0.757133961,,15.14118266,0.053403139,0.099383831,0.758369446,3,TRUE,65
34,RandomForestGini_BAG_L1,0.764705882,0.885057471,accuracy,0.058021545,0.097439051,0.871357203,0.058021545,0.097439051,0.871357203,1,TRUE,4
39,RandomForestGini_BAG_L1_FULL,0.764705882,,accuracy,0.099089861,0.097439051,0.871357203,0.099089861,0.097439051,0.871357203,1,TRUE,40
67,RandomForestGini_BAG_L2,,0.91954023,accuracy,,0.710378647,53.5148859,,0.093691826,0.803640366,2,FALSE,16
45,RandomForestGini_BAG_L2_FULL,0.764705882,,accuracy,0.460141182,,10.19451952,0.100749254,0.093691826,0.803640366,2,TRUE,52
71,RandomForestGini_BAG_L3,,0.91954023,accuracy,,1.426151276,111.683049,,0.084503651,0.914708376,3,FALSE,28
22,RandomForestGini_BAG_L3_FULL,0.823529412,,accuracy,0.806598186,,15.29752159,0.102867365,0.084503651,0.914708376,3,TRUE,64
48,RandomForestMSE_2_DSTL,0.705882353,0.888888889,soft_log_loss,0.083369255,0.036784649,0.797560453,0.083369255,0.036784649,0.797560453,1,TRUE,79
6,RandomForestMSE_DSTL,0.823529412,0.944444444,soft_log_loss,0.089405775,0.052526236,0.789805651,0.089405775,0.052526236,0.789805651,1,TRUE,74
32,WeightedEnsemble_2_L2_DSTL,0.764705882,1,soft_log_loss,0.045106649,0,212.7254975,0,0,0.045997381,2,TRUE,82
51,WeightedEnsemble_L2,,0.954022989,accuracy,,0.093114853,10.56952929,,0,0.18998003,2,FALSE,12
25,WeightedEnsemble_L2_DSTL,0.764705882,1,soft_log_loss,0.020292044,0.015746117,6.909493446,0,0,0.050673485,2,TRUE,77
28,WeightedEnsemble_L2_FULL,0.764705882,,accuracy,0.02329421,,0.595017433,0,,0.18998003,2,TRUE,48
54,WeightedEnsemble_L3,,0.954022989,accuracy,,0.734879732,62.7733171,,0,0.183258057,3,FALSE,24
10,WeightedEnsemble_L3_FULL,0.823529412,,accuracy,0.371126175,,9.884366989,0.001640081,,0.183258057,3,TRUE,60
50,WeightedEnsemble_L4,,0.954022989,accuracy,,0.093114853,10.65587592,,0,0.276326656,4,FALSE,36
27,WeightedEnsemble_L4_FULL,0.764705882,,accuracy,0.02329421,,0.681364059,0,,0.276326656,4,TRUE,72
78,XGBoost_BAG_L1,,0.896551724,accuracy,,0.015826941,4.210969687,,0.015826941,4.210969687,1,FALSE,9
49,XGBoost_BAG_L1_FULL,0.647058824,,accuracy,0.010071754,,0.020247936,0.010071754,,0.020247936,1,TRUE,45
53,XGBoost_BAG_L2,,0.954022989,accuracy,,0.646425247,57.06206131,,0.029738426,4.350815773,2,FALSE,21
40,XGBoost_BAG_L2_FULL,0.764705882,,accuracy,0.359391928,,9.427279711,0,,0.036400557,2,TRUE,57
76,XGBoost_BAG_L3,,0.908045977,accuracy,,1.367889404,115.3638649,,0.026241779,4.595524311,3,FALSE,33
13,XGBoost_BAG_L3_FULL,0.823529412,,accuracy,0.703730822,,14.40311718,0,,0.020303965,3,TRUE,69
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,model,BaggedEnsemble(L1),,StackerEnsemble(L2),,StackerEnsemble(L3),,medium-dstl,,medium-dstl2,,,
,,score_test,score_val,score_test,score_val,score_test,score_val,score_test,score_val,score_test,score_val,,
,RandomForestEntr_BAG_L1,0.765,0.885,0.765,0.92,0.824,0.92,,,,,,
,RandomForestGini_BAG_L1,0.765,0.885,0.765,0.92,0.824,0.92,0.824,0.944,0.706,0.889,,
,CatBoost_BAG_L1,0.706,0.885,0.765,0.943,0.824,0.954,0.824,1,0.765,1,,
,NeuralNetTorch_BAG_L1,0.765,0.931,0.824,0.92,0.824,0.92,0.765,1,0.765,0.944,,
,LightGBM_BAG_L1,0.765,0.897,0.824,0.943,0.824,0.931,0.824,1,0.824,0.944,,
,LightGBMXT_BAG_L1,0.765,0.897,0.765,0.931,0.765,0.943,,,,,,
,LightGBMLarge_BAG_L1,0.824,0.885,0.824,0.943,0.824,0.931,,,,,,
,ExtraTreesEntr_BAG_L1,0.765,0.874,0.824,0.92,0.824,0.92,,,,,,
,ExtraTreesGini_BAG_L1,0.824,0.874,0.765,0.908,0.824,0.92,,,,,,
,XGBoost_BAG_L1,0.647,0.897,0.765,0.954,0.824,0.908,,,,,,
,NeuralNetFastAI_BAG_L1,0.765,0.954,0.824,0.954,0.824,0.943,,,,,,
,WeightedEnsemble_L2,0.765,0.954,0.824,0.954,0.765,0.954,0.765,1,0.765,1,,
