,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
2,ExtraTreesEntr,0.6956521739130435,0.8870967741935484,accuracy,0.0858156681060791,0.08540487289428711,0.9146082401275635,0.0858156681060791,0.08540487289428711,0.9146082401275635,1,True,10
0,CatBoost,0.6956521739130435,0.8548387096774194,accuracy,0.0038614273071289062,0.001001596450805664,2.668968915939331,0.0038614273071289062,0.001001596450805664,2.668968915939331,1,True,8
3,RandomForestGini,0.6956521739130435,0.8387096774193549,accuracy,0.11159658432006836,0.06873846054077148,0.9136931896209717,0.11159658432006836,0.06873846054077148,0.9136931896209717,1,True,6
1,CatBoost_DSTL,0.6956521739130435,0.8225806451612904,soft_log_loss,0.015952110290527344,0.0,15.360854625701904,0.015952110290527344,0.0,15.360854625701904,1,True,17
7,WeightedEnsemble_L2,0.6739130434782609,0.9032258064516129,accuracy,0.07349205017089844,0.06863522529602051,1.007457971572876,0.0,0.0,0.1507570743560791,2,True,14
8,ExtraTreesGini,0.6739130434782609,0.9032258064516129,accuracy,0.07349205017089844,0.06863522529602051,0.8567008972167969,0.07349205017089844,0.06863522529602051,0.8567008972167969,1,True,9
4,LightGBMXT,0.6739130434782609,0.8709677419354839,accuracy,0.012999296188354492,0.0,0.5984728336334229,0.012999296188354492,0.0,0.5984728336334229,1,True,4
9,RandomForestEntr,0.6739130434782609,0.8387096774193549,accuracy,0.07441282272338867,0.07238054275512695,0.8486282825469971,0.07441282272338867,0.07238054275512695,0.8486282825469971,1,True,7
5,CatBoost_2_DSTL,0.6739130434782609,0.8225806451612904,soft_log_loss,0.013491630554199219,0.0,12.20390272140503,0.013491630554199219,0.0,12.20390272140503,1,True,22
6,WeightedEnsemble_L2_DSTL,0.6739130434782609,0.8225806451612904,soft_log_loss,0.03084707260131836,0.008292198181152344,19.02927875518799,0.002053976058959961,0.0,0.032671213150024414,2,True,19
10,LightGBMLarge,0.6521739130434783,0.8709677419354839,accuracy,0.0016269683837890625,0.0016031265258789062,0.876366376876831,0.0016269683837890625,0.0016031265258789062,0.876366376876831,1,True,13
11,XGBoost,0.6521739130434783,0.8548387096774194,accuracy,0.025880813598632812,0.008352041244506836,0.5516767501831055,0.025880813598632812,0.008352041244506836,0.5516767501831055,1,True,11
12,WeightedEnsemble_2_L2_DSTL,0.6521739130434783,0.8225806451612904,soft_log_loss,0.04371285438537598,0.0036165714263916016,16.092487812042236,0.009985208511352539,0.0,0.030476808547973633,2,True,24
13,LightGBM,0.6304347826086957,0.8709677419354839,accuracy,0.004003286361694336,0.0,0.38176989555358887,0.004003286361694336,0.0,0.38176989555358887,1,True,5
14,LightGBM_DSTL,0.6304347826086957,0.8387096774193549,soft_log_loss,0.009502172470092773,0.0,0.8012046813964844,0.009502172470092773,0.0,0.8012046813964844,1,True,15
15,NeuralNetFastAI,0.6304347826086957,0.8387096774193549,accuracy,0.019762039184570312,0.010285615921020508,2.768293619155884,0.019762039184570312,0.010285615921020508,2.768293619155884,1,True,3
17,RandomForestMSE_DSTL,0.6304347826086957,0.8064516129032258,soft_log_loss,0.12302637100219727,0.06532049179077148,0.655684232711792,0.12302637100219727,0.06532049179077148,0.655684232711792,1,True,16
16,RandomForestMSE_2_DSTL,0.6304347826086957,0.7903225806451613,soft_log_loss,0.11960291862487793,0.06544065475463867,0.655970573425293,0.11960291862487793,0.06544065475463867,0.655970573425293,1,True,21
18,LightGBM_2_DSTL,0.6086956521739131,0.8387096774193549,soft_log_loss,0.018141984939575195,0.0,0.8890142440795898,0.018141984939575195,0.0,0.8890142440795898,1,True,20
19,NeuralNetTorch_2_DSTL,0.5869565217391305,0.8064516129032258,soft_log_loss,0.0020940303802490234,0.0036165714263916016,2.9690940380096436,0.0020940303802490234,0.0036165714263916016,2.9690940380096436,1,True,23
20,NeuralNetTorch_DSTL,0.5869565217391305,0.7580645161290323,soft_log_loss,0.012840986251831055,0.008292198181152344,3.6357529163360596,0.012840986251831055,0.008292198181152344,3.6357529163360596,1,True,18
21,NeuralNetTorch,0.5652173913043478,0.8387096774193549,accuracy,0.02070903778076172,0.020313262939453125,7.4600136280059814,0.02070903778076172,0.020313262939453125,7.4600136280059814,1,True,12
22,KNeighborsDist,0.3695652173913043,0.7741935483870968,accuracy,0.02020716667175293,0.027998924255371094,0.0,0.02020716667175293,0.027998924255371094,0.0,1,True,2
23,KNeighborsUnif,0.34782608695652173,0.6935483870967742,accuracy,0.016633987426757812,0.03129434585571289,2.6082911491394043,0.016633987426757812,0.03129434585571289,2.6082911491394043,1,True,1
