,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMXT,0.7391304347826086,0.82,accuracy,0.005002498626708984,0.0,0.45376157760620117,0.005002498626708984,0.0,0.45376157760620117,1,True,4
1,LightGBM,0.717391304347826,0.84,accuracy,0.002996683120727539,0.0,0.39717841148376465,0.002996683120727539,0.0,0.39717841148376465,1,True,5
2,NeuralNetFastAI,0.6739130434782609,0.86,accuracy,0.025736093521118164,0.013275146484375,2.551274299621582,0.025736093521118164,0.013275146484375,2.551274299621582,1,True,3
3,LightGBMLarge,0.6739130434782609,0.84,accuracy,0.03363966941833496,0.0025064945220947266,2.0916106700897217,0.03363966941833496,0.0025064945220947266,2.0916106700897217,1,True,13
4,RandomForestGini,0.6739130434782609,0.82,accuracy,0.09424710273742676,0.10189437866210938,0.9509100914001465,0.09424710273742676,0.10189437866210938,0.9509100914001465,1,True,6
5,ExtraTreesEntr,0.6739130434782609,0.84,accuracy,0.10251951217651367,0.06910252571105957,0.8626956939697266,0.10251951217651367,0.06910252571105957,0.8626956939697266,1,True,10
6,RandomForestEntr,0.6739130434782609,0.82,accuracy,0.10517692565917969,0.05792236328125,0.866408109664917,0.10517692565917969,0.05792236328125,0.866408109664917,1,True,7
7,CatBoost,0.6521739130434783,0.82,accuracy,0.007411956787109375,0.0,3.2503275871276855,0.007411956787109375,0.0,3.2503275871276855,1,True,8
8,ExtraTreesGini,0.6304347826086957,0.84,accuracy,0.11203980445861816,0.09168672561645508,0.9851446151733398,0.11203980445861816,0.09168672561645508,0.9851446151733398,1,True,9
9,WeightedEnsemble_L2,0.6086956521739131,0.9,accuracy,0.02538275718688965,0.013357162475585938,10.543806552886963,0.0,0.0,0.21931982040405273,2,True,14
10,NeuralNetTorch,0.6086956521739131,0.9,accuracy,0.02538275718688965,0.013357162475585938,10.32448673248291,0.02538275718688965,0.013357162475585938,10.32448673248291,1,True,12
11,XGBoost,0.5434782608695652,0.84,accuracy,0.025025367736816406,0.0035085678100585938,0.5366513729095459,0.025025367736816406,0.0035085678100585938,0.5366513729095459,1,True,11
12,KNeighborsDist,0.3695652173913043,0.78,accuracy,0.004752159118652344,0.01017451286315918,0.010132789611816406,0.004752159118652344,0.01017451286315918,0.010132789611816406,1,True,2
13,KNeighborsUnif,0.34782608695652173,0.68,accuracy,0.013099908828735352,0.20727276802062988,2.5068180561065674,0.013099908828735352,0.20727276802062988,2.5068180561065674,1,True,1
