,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.5434782608695652,0.8548387096774194,accuracy,0.03034496307373047,0.0,0.4700498580932617,0.03034496307373047,0.0,0.4700498580932617,1.0,True,1.0
0,RandomForestGini,0.6521739130434783,0.7903225806451613,accuracy,0.08588862419128418,0.055826425552368164,0.9038610458374023,0.08588862419128418,0.055826425552368164,0.9038610458374023,1.0,1.0,1.0
0,RandomForestGini,0.32608695652173914,0.7903225806451613,accuracy,0.07823061943054199,0.06393647193908691,0.8212676048278809,0.07823061943054199,0.06393647193908691,0.8212676048278809,1.0,1.0,1.0
1,RandomForestEntr,0.6304347826086957,0.7903225806451613,accuracy,0.07954716682434082,0.06622719764709473,0.8160715103149414,0.07954716682434082,0.06622719764709473,0.8160715103149414,1.0,1.0,2.0
2,RandomForestEntr,0.32608695652173914,0.7903225806451613,accuracy,0.08128714561462402,0.07944250106811523,0.7920942306518555,0.08128714561462402,0.07944250106811523,0.7920942306518555,1.0,1.0,2.0
1,NeuralNetTorch,0.6521739130434783,0.8548387096774194,accuracy,0.016777992248535156,0.020267248153686523,7.128354072570801,0.016777992248535156,0.020267248153686523,7.128354072570801,1.0,True,1.0
0,NeuralNetFastAI,0.6521739130434783,0.8548387096774194,accuracy,0.0180971622467041,0.004572629928588867,2.849113702774048,0.0180971622467041,0.004572629928588867,2.849113702774048,1.0,1.0,1.0
0,LightGBMXT,0.717391304347826,0.8870967741935484,accuracy,0.012519359588623047,0.0,0.5575127601623535,0.012519359588623047,0.0,0.5575127601623535,1.0,1.0,1.0
0,LightGBMXT,0.6739130434782609,0.8387096774193549,accuracy,0.0034847259521484375,0.0,0.3501405715942383,0.0034847259521484375,0.0,0.3501405715942383,1.0,1.0,1.0
3,LightGBMXT,0.6304347826086957,0.8548387096774194,accuracy,0.004317045211791992,0.0,0.41158509254455566,0.004317045211791992,0.0,0.41158509254455566,1.0,1.0,1.0
1,LightGBMLarge,0.6956521739130435,0.8709677419354839,accuracy,0.011138916015625,0.0009999275207519531,0.7234599590301514,0.011138916015625,0.0009999275207519531,0.7234599590301514,1.0,1.0,3.0
2,LightGBMLarge,0.6304347826086957,0.9032258064516129,accuracy,0.013229846954345703,0.0,0.7776825428009033,0.013229846954345703,0.0,0.7776825428009033,1.0,1.0,3.0
3,LightGBMLarge,0.6086956521739131,0.9193548387096774,accuracy,0.0,0.0,0.6859102249145508,0.0,0.0,0.6859102249145508,1.0,1.0,3.0
0,LightGBM,0.6956521739130435,0.8548387096774194,accuracy,0.0,0.0,0.4130089282989502,0.0,0.0,0.4130089282989502,1.0,1.0,2.0
1,LightGBM,0.6304347826086957,0.9032258064516129,accuracy,0.0019867420196533203,0.0,0.36671948432922363,0.0019867420196533203,0.0,0.36671948432922363,1.0,1.0,2.0
3,LightGBM,0.5869565217391305,0.8870967741935484,accuracy,0.008138179779052734,0.015700578689575195,0.38953495025634766,0.008138179779052734,0.015700578689575195,0.38953495025634766,1.0,1.0,2.0
2,KNeighborsUnif,0.34782608695652173,0.6129032258064516,accuracy,0.0035066604614257812,0.0035064220428466797,0.005029439926147461,0.0035066604614257812,0.0035064220428466797,0.005029439926147461,1.0,1.0,1.0
0,KNeighborsUnif,0.34782608695652173,0.5806451612903226,accuracy,0.0019986629486083984,0.2519392967224121,2.519122362136841,0.0019986629486083984,0.2519392967224121,2.519122362136841,1.0,1.0,1.0
0,KNeighborsDist,0.34782608695652173,0.7258064516129032,accuracy,0.0,0.0021092891693115234,0.006797075271606445,0.0,0.0021092891693115234,0.006797075271606445,1.0,1.0,2.0
1,KNeighborsDist,0.34782608695652173,0.7096774193548387,accuracy,0.0030012130737304688,0.010042667388916016,0.0,0.0030012130737304688,0.010042667388916016,0.0,1.0,1.0,2.0
2,ExtraTreesGini,0.6521739130434783,0.532258064516129,accuracy,0.10054826736450195,0.06122279167175293,0.7683069705963135,0.10054826736450195,0.06122279167175293,0.7683069705963135,1.0,1.0,1.0
0,ExtraTreesEntr,0.6521739130434783,0.532258064516129,accuracy,0.09238839149475098,0.06698441505432129,0.7962827682495117,0.09238839149475098,0.06698441505432129,0.7962827682495117,1.0,1.0,2.0
0,CatBoost,0.6739130434782609,0.9032258064516129,accuracy,0.004750490188598633,0.0,1.8219940662384033,0.004750490188598633,0.0,1.8219940662384033,1.0,1.0,1.0
