,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesEntr,0.6739130434782609,0.8,accuracy,0.07758688926696777,0.06717872619628906,0.9168634414672852,0.07758688926696777,0.06717872619628906,0.9168634414672852,1,True,10
1,ExtraTreesGini,0.6521739130434783,0.86,accuracy,0.07652759552001953,0.08223915100097656,0.822291374206543,0.07652759552001953,0.08223915100097656,0.822291374206543,1,True,9
2,RandomForestEntr,0.6304347826086957,0.78,accuracy,0.06075239181518555,0.061774253845214844,0.8657193183898926,0.06075239181518555,0.061774253845214844,0.8657193183898926,1,True,7
3,RandomForestGini,0.6304347826086957,0.84,accuracy,0.12317132949829102,0.07442212104797363,1.0432560443878174,0.12317132949829102,0.07442212104797363,1.0432560443878174,1,True,6
4,XGBoost,0.6086956521739131,0.86,accuracy,0.010427713394165039,0.0020017623901367188,0.5091874599456787,0.010427713394165039,0.0020017623901367188,0.5091874599456787,1,True,11
5,LightGBMXT,0.5652173913043478,0.86,accuracy,0.0025060176849365234,0.0,0.5734407901763916,0.0025060176849365234,0.0,0.5734407901763916,1,True,4
6,NeuralNetTorch,0.5652173913043478,0.88,accuracy,0.024988651275634766,0.017949342727661133,5.821135520935059,0.024988651275634766,0.017949342727661133,5.821135520935059,1,True,12
7,LightGBMLarge,0.5434782608695652,0.88,accuracy,0.0,0.0,0.9975900650024414,0.0,0.0,0.9975900650024414,1,True,13
8,CatBoost,0.5434782608695652,0.8,accuracy,0.0046808719635009766,0.0,2.822659492492676,0.0046808719635009766,0.0,2.822659492492676,1,True,8
9,NeuralNetFastAI,0.5434782608695652,0.9,accuracy,0.017188310623168945,0.010094165802001953,2.5542638301849365,0.017188310623168945,0.010094165802001953,2.5542638301849365,1,True,3
10,WeightedEnsemble_L2,0.5434782608695652,0.9,accuracy,0.02295541763305664,0.010094165802001953,2.7055070400238037,0.005767107009887695,0.0,0.1512432098388672,2,True,14
11,LightGBM,0.5217391304347826,0.86,accuracy,0.013666391372680664,0.0,0.39594149589538574,0.013666391372680664,0.0,0.39594149589538574,1,True,5
12,KNeighborsUnif,0.3695652173913043,0.74,accuracy,0.0,0.19168448448181152,2.450857400894165,0.0,0.19168448448181152,2.450857400894165,1,True,1
13,KNeighborsDist,0.3695652173913043,0.88,accuracy,0.014037132263183594,0.0,0.010076284408569336,0.014037132263183594,0.0,0.010076284408569336,1,True,2
