,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_2_L2_DSTL,0.717391304347826,0.8548387096774194,soft_log_loss,0.056333303451538086,0.015445470809936523,21.413355588912964,0.0,0.0,0.022396564483642578,2,True,24
3,LightGBM_DSTL,0.6956521739130435,0.8709677419354839,soft_log_loss,0.010144233703613281,0.0,1.000622034072876,0.010144233703613281,0.0,1.000622034072876,1,True,15
6,WeightedEnsemble_L2_DSTL,0.6956521739130435,0.8709677419354839,soft_log_loss,0.03435945510864258,0.01871180534362793,23.022544860839844,0.0,0.0,0.02795577049255371,2,True,19
1,CatBoost,0.6956521739130435,0.8548387096774194,accuracy,0.0010859966278076172,0.0,7.1304099559783936,0.0010859966278076172,0.0,7.1304099559783936,1,True,8
2,CatBoost_DSTL,0.6956521739130435,0.8548387096774194,soft_log_loss,0.008506536483764648,0.0,18.29491662979126,0.008506536483764648,0.0,18.29491662979126,1,True,17
4,LightGBM_2_DSTL,0.6956521739130435,0.8387096774193549,soft_log_loss,0.010174751281738281,0.0,0.9438598155975342,0.010174751281738281,0.0,0.9438598155975342,1,True,20
5,CatBoost_2_DSTL,0.6956521739130435,0.8387096774193549,soft_log_loss,0.026947021484375,0.0,16.728880882263184,0.026947021484375,0.0,16.728880882263184,1,True,22
7,LightGBMXT,0.6739130434782609,0.8548387096774194,accuracy,0.00021219253540039062,0.0,0.5506265163421631,0.00021219253540039062,0.0,0.5506265163421631,1,True,4
8,LightGBMLarge,0.6739130434782609,0.8548387096774194,accuracy,0.009551286697387695,0.003007650375366211,1.1731433868408203,0.009551286697387695,0.003007650375366211,1.1731433868408203,1,True,13
10,RandomForestGini,0.6739130434782609,0.8387096774193549,accuracy,0.12162017822265625,0.09584689140319824,0.836899995803833,0.12162017822265625,0.09584689140319824,0.836899995803833,1,True,6
9,RandomForestMSE_DSTL,0.6739130434782609,0.8225806451612904,soft_log_loss,0.11504697799682617,0.06113719940185547,0.8707072734832764,0.11504697799682617,0.06113719940185547,0.8707072734832764,1,True,16
12,ExtraTreesEntr,0.6521739130434783,0.8548387096774194,accuracy,0.06667852401733398,0.05257153511047363,0.8270299434661865,0.06667852401733398,0.05257153511047363,0.8270299434661865,1,True,10
11,RandomForestEntr,0.6521739130434783,0.8387096774193549,accuracy,0.06450605392456055,0.04926347732543945,0.8456573486328125,0.06450605392456055,0.04926347732543945,0.8456573486328125,1,True,7
13,ExtraTreesGini,0.6521739130434783,0.8387096774193549,accuracy,0.07479143142700195,0.09508204460144043,0.8107075691223145,0.07479143142700195,0.09508204460144043,0.8107075691223145,1,True,9
14,LightGBM,0.6304347826086957,0.9032258064516129,accuracy,0.0,0.0,0.4599311351776123,0.0,0.0,0.4599311351776123,1,True,5
15,WeightedEnsemble_L2,0.6304347826086957,0.9032258064516129,accuracy,0.010112762451171875,0.0,0.6173689365386963,0.010112762451171875,0.0,0.15743780136108398,2,True,14
17,NeuralNetTorch,0.6304347826086957,0.8709677419354839,accuracy,0.02022409439086914,0.016932249069213867,9.286099195480347,0.02022409439086914,0.016932249069213867,9.286099195480347,1,True,12
16,NeuralNetTorch_DSTL,0.6304347826086957,0.8064516129032258,soft_log_loss,0.01570868492126465,0.01871180534362793,3.6990504264831543,0.01570868492126465,0.01871180534362793,3.6990504264831543,1,True,18
18,NeuralNetFastAI,0.6086956521739131,0.8870967741935484,accuracy,0.018169879913330078,0.010200738906860352,2.825632095336914,0.018169879913330078,0.010200738906860352,2.825632095336914,1,True,3
19,RandomForestMSE_2_DSTL,0.6086956521739131,0.7903225806451613,soft_log_loss,0.10338258743286133,0.06168246269226074,0.7902035713195801,0.10338258743286133,0.06168246269226074,0.7902035713195801,1,True,21
20,NeuralNetTorch_2_DSTL,0.5869565217391305,0.8064516129032258,soft_log_loss,0.019211530685424805,0.015445470809936523,3.7182183265686035,0.019211530685424805,0.015445470809936523,3.7182183265686035,1,True,23
21,XGBoost,0.5434782608695652,0.8225806451612904,accuracy,0.025272846221923828,0.0031461715698242188,0.6310665607452393,0.025272846221923828,0.0031461715698242188,0.6310665607452393,1,True,11
23,KNeighborsDist,0.391304347826087,0.7258064516129032,accuracy,0.0060002803802490234,0.010064840316772461,0.0,0.0060002803802490234,0.010064840316772461,0.0,1,True,2
22,KNeighborsUnif,0.391304347826087,0.6290322580645161,accuracy,0.005000591278076172,0.26645946502685547,2.4796547889709473,0.005000591278076172,0.26645946502685547,2.4796547889709473,1,True,1
